Game ID	Winner	Plies
0	1	173
1	1	179
2	1	183
3	1	115
4	1	93
5	1	87
6	1	81
7	1	147
8	1	177
9	1	147
10	1	99
11	1	127
12	1	131
13	1	101
14	1	137
15	1	161
16	1	103
17	1	147
18	1	79
19	1	123
20	1	117
21	1	101
22	1	111
23	1	163
24	1	111
25	1	109
26	1	135
27	1	147
28	1	101
29	1	103
30	1	115
31	1	123
32	1	187
33	1	137
34	1	111
35	1	85
36	1	163
37	1	173
38	1	95
39	1	129
40	1	149
41	1	149
42	1	123
43	1	137
44	1	121
45	0	194
46	1	105
47	1	161
48	1	159
49	1	77
50	1	83
51	1	95
52	1	167
53	1	113
54	1	97
55	1	99
56	1	89
57	1	133
58	1	103
59	1	121
60	1	115
61	1	95
62	1	115
63	1	161
64	1	115
65	1	113
66	1	133
67	1	105
68	1	139
69	1	119
70	1	137
71	1	127
72	1	105
73	1	115
74	1	181
75	1	173
76	1	129
77	1	129
78	1	105
79	1	123
80	1	129
81	1	113
82	1	137
83	1	115
84	1	113
85	1	123
86	1	155
87	1	143
88	1	151
89	1	85
90	1	131
91	1	131
92	1	127
93	1	177
94	1	161
95	1	107
96	1	165
97	1	121
98	1	125
99	1	143
100	1	121
101	1	171
102	1	97
103	1	181
104	1	99
105	1	135
106	1	113
107	1	97
108	1	119
109	1	147
110	1	145
111	1	103
112	1	105
113	1	79
114	1	167
115	1	121
116	1	129
117	1	185
118	1	125
119	1	153
120	1	133
121	1	73
122	1	141
123	1	91
124	1	175
125	1	103
126	1	115
127	1	151
128	1	137
129	1	91
130	1	89
131	1	159
132	1	133
133	1	115
134	1	99
135	1	173
136	1	139
137	1	89
138	1	155
139	1	125
140	1	77
141	1	81
142	1	167
143	1	109
144	1	99
145	1	133
146	1	161
147	1	137
148	1	143
149	1	147
150	1	113
151	1	113
152	1	117
153	1	117
154	1	109
155	1	107
156	1	87
157	1	141
158	1	75
159	1	113
160	1	127
161	1	109
162	1	117
163	1	113
164	1	135
165	1	119
166	1	121
167	1	151
168	1	115
169	1	127
170	1	87
171	1	117
172	1	127
173	1	161
174	1	59
175	1	131
176	1	71
177	1	119
178	1	103
179	1	165
180	1	139
181	1	91
182	1	111
183	1	187
184	1	113
185	1	143
186	1	97
187	1	141
188	1	163
189	1	113
190	1	83
191	1	141
192	1	109
193	1	87
194	1	153
195	1	153
196	1	95
197	1	165
198	1	101
199	1	131
200	1	173
201	1	81
202	1	105
203	1	109
204	1	105
205	1	57
206	1	137
207	1	109
208	1	119
209	1	69
210	1	129
211	1	143
212	1	107
213	1	109
214	1	85
215	1	107
216	1	115
217	1	143
218	1	179
219	1	123
220	1	129
221	1	117
222	1	123
223	1	133
224	1	165
225	1	139
226	1	89
227	1	109
228	1	147
229	1	131
230	1	93
231	1	119
232	1	93
233	1	181
234	1	125
235	1	93
236	1	163
237	1	79
238	1	101
239	1	163
240	1	99
241	1	133
242	1	141
243	1	149
244	1	125
245	1	113
246	1	97
247	1	87
248	1	107
249	1	97
250	1	121
251	1	153
252	1	119
253	1	129
254	1	153
255	1	119
256	1	125
257	1	93
258	1	101
259	1	157
260	1	133
261	1	123
262	1	99
263	1	145
264	1	123
265	1	143
266	1	109
267	1	155
268	1	87
269	1	183
270	1	113
271	1	93
272	1	151
273	1	91
274	1	117
275	1	99
276	1	183
277	1	159
278	1	137
279	1	155
280	1	127
281	1	93
282	1	129
283	1	129
284	1	107
285	1	123
286	1	63
287	1	127
288	1	163
289	1	95
290	1	117
291	1	169
292	1	113
293	1	101
294	1	111
295	1	97
296	1	81
297	1	119
298	1	85
299	1	103
300	1	147
301	1	187
302	1	125
303	1	163
304	1	105
305	1	95
306	1	93
307	1	117
308	1	129
