Game ID	Winner	Plies
0	1	125
1	0	104
2	1	127
3	0	114
4	1	119
5	1	115
6	1	143
7	1	125
8	1	95
9	1	99
10	1	133
11	1	131
12	1	109
13	1	85
14	0	138
15	0	142
16	1	119
17	1	179
18	1	175
19	1	125
20	1	95
21	0	118
22	0	154
23	1	95
24	1	111
25	1	105
26	0	116
27	1	147
28	1	115
29	1	117
30	1	129
31	0	112
32	0	124
33	1	135
34	1	123
35	1	125
36	0	120
37	1	111
38	1	101
39	1	131
40	1	85
41	1	103
42	0	84
43	1	111
44	1	107
45	1	111
46	1	89
47	1	149
48	0	116
49	1	87
50	1	121
51	0	126
52	1	99
53	1	113
54	1	123
55	1	85
56	0	174
57	1	145
58	1	99
59	1	105
60	1	121
61	1	93
62	1	151
63	1	155
64	1	93
65	0	118
66	0	98
67	1	117
68	0	96
69	1	105
70	1	83
71	1	113
72	1	171
73	1	115
74	1	165
75	1	79
76	1	125
77	1	135
78	1	133
79	0	96
80	1	91
81	1	131
82	0	146
83	1	163
84	1	133
85	1	117
86	1	89
87	1	139
88	0	88
89	1	121
90	1	117
91	1	167
92	1	129
93	0	130
94	1	117
95	1	167
96	1	129
97	1	107
98	1	101
99	1	109
100	1	121
101	1	91
102	0	136
103	0	90
104	1	153
105	1	111
106	1	135
107	1	113
108	0	100
109	0	130
110	0	104
111	0	144
112	1	101
113	1	115
114	1	103
115	1	105
116	1	113
117	1	109
118	0	78
119	1	107
120	0	116
121	0	72
122	1	101
123	1	95
124	1	151
125	1	113
126	1	133
127	1	105
128	1	125
129	1	101
130	1	119
131	0	102
132	1	101
133	1	133
134	1	147
135	0	142
136	1	87
137	0	134
138	1	139
139	1	103
140	0	106
141	0	118
142	1	105
143	1	143
144	1	115
145	1	99
146	1	119
147	0	86
148	1	87
149	1	107
150	1	95
151	1	101
152	1	133
153	1	121
154	1	129
155	1	141
156	0	122
157	1	133
158	1	123
159	0	128
160	1	157
161	1	113
162	1	147
163	0	74
164	1	137
165	0	106
166	1	111
167	1	77
168	1	97
169	1	117
170	1	137
171	1	129
172	1	101
173	0	116
174	1	147
175	0	140
176	1	67
177	0	106
178	1	133
179	1	113
180	0	74
181	1	175
182	1	101
183	0	124
184	1	95
185	1	73
186	0	72
187	1	99
188	1	89
189	1	123
190	1	77
191	1	123
192	0	98
193	1	137
194	1	85
195	1	105
196	1	83
197	1	109
198	1	93
199	1	95
200	0	114
201	1	111
202	1	121
203	1	105
204	0	88
205	1	109
206	1	127
207	1	141
208	1	115
209	1	163
210	1	155
211	1	169
212	1	129
213	1	145
214	1	131
215	1	119
216	1	157
217	1	141
218	0	98
219	0	126
220	1	101
221	1	73
222	0	100
223	1	133
224	1	117
225	1	141
226	0	156
227	1	107
228	0	138
229	1	87
230	1	103
231	1	135
232	1	115
233	1	147
234	0	134
235	1	147
236	1	133
237	0	156
238	1	95
239	1	93
240	1	129
241	1	139
242	1	117
243	1	165
244	0	132
245	1	105
246	1	115
247	1	91
248	1	89
249	1	103
250	0	90
251	0	96
252	1	111
253	1	107
254	1	115
255	0	124
256	1	145
257	1	133
258	1	89
259	0	90
260	1	117
261	0	116
262	1	137
263	0	104
264	1	99
265	1	107
266	0	86
267	1	89
268	0	144
269	1	151
270	1	147
271	0	112
272	1	75
273	1	89
274	1	97
275	1	119
276	1	79
277	1	125
278	0	162
279	1	103
280	0	116
281	1	115
282	0	166
283	1	97
284	1	125
285	1	111
286	1	95
287	1	175
288	0	124
289	1	127
290	1	89
291	0	90
292	1	91
293	1	119
294	1	79
295	1	109
296	1	117
297	1	97
298	1	139
299	1	121
300	0	146
301	1	133
302	1	73
303	1	129
304	1	109
305	0	104
306	0	156
307	1	143
308	1	133
309	1	91
310	1	101
311	1	99
312	1	117
313	1	85
314	1	131
315	1	85
316	0	116
317	1	113
318	1	105
319	1	135
320	1	109
321	1	131
322	0	120
323	1	107
324	1	111
325	1	107
326	1	167
327	1	133
328	1	95
329	1	109
330	1	139
331	1	135
332	1	119
333	1	123
334	1	105
335	1	125
336	1	115
337	1	111
338	1	123
339	1	165
340	1	125
341	1	137
342	1	125
343	1	113
344	1	119
345	1	145
346	1	147
347	0	120
348	0	88
349	1	127
350	1	145
351	0	118
352	1	83
353	1	135
354	0	100
355	1	135
356	1	89
357	1	141
358	1	125
359	1	117
360	1	105
361	1	101
362	1	173
363	1	151
364	1	115
365	1	113
366	1	139
367	1	131
368	1	123
369	0	128
370	1	133
371	1	77
372	1	105
373	1	131
374	1	121
375	1	101
376	1	163
377	0	112
378	1	117
379	1	135
380	1	75
381	0	130
382	0	114
383	1	117
384	1	77
385	1	103
386	0	114
387	1	101
388	1	77
389	0	100
390	1	139
391	1	127
392	1	155
393	1	125
394	1	133
395	1	123
396	1	101
397	1	123
398	1	95
399	0	110
400	0	88
401	1	115
402	1	91
403	1	127
404	0	124
405	1	137
406	1	111
407	1	89
408	1	135
409	1	95
410	1	129
411	1	81
412	1	99
413	1	109
414	1	101
415	1	129
416	1	141
417	1	133
418	0	110
419	1	113
420	0	86
421	0	130
422	1	85
423	1	125
424	1	99
425	1	107
426	1	97
427	1	99
428	1	113
429	1	137
430	1	113
431	1	87
432	1	93
433	1	97
434	1	91
435	1	109
436	1	113
437	0	126
438	0	128
439	0	180
440	1	59
441	1	109
442	1	87
443	1	79
444	1	103
445	0	116
446	0	92
447	1	151
448	0	122
449	1	111
450	1	111
451	1	181
452	1	129
453	1	127
454	1	131
455	1	151
456	1	171
457	0	102
458	1	139
459	1	129
460	1	141
461	1	111
462	1	101
463	1	109
464	1	143
465	0	154
466	1	121
467	1	135
468	1	87
469	0	100
470	1	113
471	0	120
472	1	109
473	1	157
474	1	165
475	1	131
476	1	147
477	1	113
478	1	109
479	0	122
480	1	99
481	1	89
482	1	133
483	1	111
484	0	130
485	0	100
486	1	113
487	1	171
488	1	163
489	0	124
490	1	93
491	0	104
492	1	113
493	0	138
494	1	89
495	1	107
496	0	146
497	1	113
498	1	105
499	1	173
500	0	110
501	1	137
502	1	123
503	1	123
504	1	91
505	1	167
506	0	132
507	1	89
508	0	112
509	0	126
510	1	163
511	1	131
512	1	123
513	1	105
514	1	97
515	1	103
516	0	108
517	0	118
518	1	79
519	1	115
520	1	105
521	1	127
522	1	149
523	1	99
524	1	117
525	1	75
526	1	131
527	1	95
528	1	137
529	0	94
530	1	97
531	1	139
532	1	145
533	0	140
534	1	133
535	1	131
536	1	101
537	1	109
538	1	131
539	1	123
540	1	139
541	0	148
542	1	137
543	1	125
544	0	118
545	1	141
546	1	115
547	1	109
548	1	115
549	1	133
550	1	97
551	1	137
552	1	105
553	1	83
554	1	137
555	1	101
556	1	85
557	0	150
558	1	129
559	1	85
560	1	97
561	1	115
562	1	121
563	1	99
564	0	136
565	1	137
566	1	79
567	0	146
568	1	101
569	0	144
570	1	109
571	1	103
572	1	75
573	1	95
574	1	105
575	1	105
576	1	105
577	1	153
578	0	112
579	1	87
580	1	129
581	0	128
582	0	94
583	1	141
584	0	102
585	1	97
586	0	130
587	1	59
588	0	144
589	0	128
590	0	92
591	0	98
592	1	105
593	1	139
594	0	126
595	1	109
596	1	107
597	0	138
598	1	121
599	1	107
600	1	107
601	1	177
602	1	87
603	1	153
604	1	133
605	0	122
606	1	111
607	1	105
608	0	96
609	1	95
610	1	113
611	1	79
612	1	109
613	1	119
614	1	117
615	1	119
616	1	105
617	1	139
618	1	115
619	1	119
620	1	91
621	1	147
622	1	101
623	1	115
624	0	138
625	1	111
626	1	89
627	0	120
628	0	108
629	0	130
630	1	129
631	0	126
632	0	110
633	1	95
634	1	95
635	1	121
636	1	109
637	1	129
638	1	109
639	1	103
640	1	117
641	1	79
642	1	85
643	1	123
644	1	95
645	1	105
646	1	107
647	0	114
648	1	101
649	0	152
650	1	179
651	1	171
652	0	116
653	0	124
654	1	87
655	1	153
656	0	122
657	1	125
658	1	123
659	0	94
660	1	85
661	1	127
662	1	99
663	1	115
664	1	107
665	1	111
666	0	160
667	1	105
668	1	79
669	1	97
670	1	131
671	1	155
672	1	139
673	1	149
674	0	136
675	0	144
676	1	105
677	1	97
678	1	121
679	0	96
680	0	112
681	1	101
682	1	121
683	1	97
684	1	127
685	0	152
686	1	111
687	1	131
688	0	86
689	0	96
690	1	139
691	0	126
692	1	81
693	1	95
694	1	147
695	1	125
696	1	123
697	1	99
698	0	116
699	1	181
700	1	115
701	0	82
702	0	122
703	1	99
704	1	83
705	1	119
706	1	115
707	1	171
708	1	83
709	1	135
710	1	137
711	1	109
712	1	123
713	1	141
714	1	143
715	0	112
716	1	101
717	1	105
718	1	131
719	1	103
720	1	91
721	1	135
722	1	107
723	1	123
724	1	145
725	1	105
726	1	111
727	1	109
728	1	155
729	1	137
730	0	142
731	1	147
732	1	127
733	1	109
734	1	119
735	1	119
736	1	133
737	1	107
738	1	79
739	1	121
740	1	109
741	1	95
742	1	193
743	1	139
744	1	113
745	1	121
746	1	151
747	1	113
748	1	137
749	1	103
750	0	154
751	0	118
752	1	85
753	1	147
754	1	165
755	1	115
756	1	105
757	1	127
758	1	123
759	1	133
760	0	86
761	1	115
762	1	97
763	1	115
764	1	115
765	1	123
766	0	120
767	0	98
768	1	133
769	1	111
770	0	92
771	0	98
772	0	164
773	1	123
774	0	124
775	1	113
776	1	113
777	1	109
778	1	87
779	1	125
780	0	122
781	1	99
782	1	159
783	1	109
784	0	134
785	1	101
786	1	123
787	1	117
788	1	113
789	1	121
790	1	137
791	0	108
792	1	147
793	1	137
794	0	76
795	1	131
796	1	87
797	1	105
798	1	143
799	1	105
800	0	88
801	1	111
802	1	83
803	1	151
804	1	173
805	1	97
806	1	111
807	1	109
808	0	108
809	1	111
810	0	102
811	1	133
812	1	107
813	0	140
814	1	145
815	1	99
816	1	115
817	1	85
818	1	127
819	0	108
820	0	90
821	0	114
822	0	92
823	1	141
824	1	133
825	1	97
826	1	117
827	1	143
828	1	97
829	1	113
830	1	133
831	1	179
832	1	135
833	1	183
834	0	140
835	1	131
836	1	95
837	1	65
838	1	133
839	1	125
840	1	101
841	1	145
842	1	157
843	0	160
844	1	127
845	1	131
846	1	147
847	1	129
848	1	117
849	1	93
850	0	90
851	1	103
852	1	85
853	1	131
854	1	133
855	1	91
856	1	103
857	1	111
858	1	133
859	1	111
860	1	105
861	1	131
862	0	116
863	1	97
864	0	150
865	1	93
866	1	175
867	1	93
868	1	79
869	1	91
870	1	93
871	1	171
872	1	85
873	1	69
874	1	69
875	0	124
876	1	149
877	0	136
878	1	93
879	1	139
880	1	143
881	1	135
882	1	115
883	1	123
884	0	148
885	0	108
886	0	138
887	1	131
888	1	79
889	1	133
890	1	109
891	1	147
892	0	112
893	1	109
894	0	106
895	1	121
896	0	116
897	1	125
898	1	107
899	1	129
900	0	88
901	0	126
902	1	117
903	1	117
904	1	139
905	1	107
906	0	138
907	1	117
908	1	95
909	1	79
910	1	171
911	1	133
912	1	155
913	1	103
914	1	121
915	1	107
916	1	103
917	1	135
918	1	101
919	1	95
920	1	99
921	1	131
922	1	145
923	1	135
924	1	121
925	0	114
926	1	89
927	1	111
928	0	62
929	0	126
930	1	117
931	1	101
932	1	157
933	1	99
934	1	99
935	1	67
936	1	105
937	1	97
938	1	107
939	1	89
940	0	112
941	1	123
942	0	138
943	1	175
944	1	89
945	1	93
946	0	134
947	1	133
948	0	88
949	1	149
950	1	107
951	1	69
952	1	115
953	1	143
954	1	115
955	1	105
956	1	105
957	1	165
958	1	103
959	0	82
960	1	107
961	1	149
962	1	111
963	1	95
964	1	141
965	1	119
966	1	163
967	1	141
968	1	141
969	1	127
970	0	144
971	1	135
972	1	91
973	1	93
974	1	105
975	1	131
976	1	69
977	1	107
978	1	119
979	1	63
980	1	137
981	1	159
982	1	123
983	1	121
984	1	143
985	1	137
986	1	187
987	1	111
988	1	107
989	1	91
990	1	101
991	1	123
992	1	103
993	1	139
994	1	181
995	1	91
996	1	105
997	1	165
998	1	73
999	1	125
1000	1	155
1001	1	95
1002	0	94
1003	1	121
1004	1	113
1005	1	121
