Game ID	Winner	Plies
0	1	75
1	1	87
2	1	65
3	1	69
4	1	71
5	1	85
6	1	83
7	1	81
8	1	85
9	1	87
10	1	107
11	1	97
12	1	83
13	1	91
14	1	121
15	1	115
16	1	107
17	1	81
18	1	101
19	1	67
20	1	103
21	1	93
22	1	97
23	1	79
24	1	67
25	1	97
26	1	81
27	1	85
28	1	95
29	1	73
30	1	119
31	1	81
32	1	109
33	1	137
34	1	89
35	1	97
36	1	101
37	1	85
38	1	71
39	1	83
40	1	93
41	1	93
42	1	119
43	1	59
44	1	103
45	1	91
46	1	103
47	1	103
48	1	71
49	1	79
50	1	101
51	1	93
52	1	107
53	1	105
54	1	61
55	1	83
56	1	107
57	1	77
58	1	77
59	1	91
60	1	75
61	1	97
62	1	115
63	1	85
64	1	95
65	1	107
66	1	95
67	1	97
68	1	107
69	1	109
70	1	121
71	1	107
72	1	87
73	1	109
74	1	81
75	1	87
76	1	113
77	1	95
78	1	61
79	1	95
80	1	69
81	1	113
82	1	81
83	1	91
84	1	105
85	1	75
86	1	123
87	1	97
88	1	117
89	1	95
90	1	81
91	1	123
92	1	119
93	1	123
94	1	99
95	1	105
96	1	87
97	1	97
98	1	113
99	1	95
100	1	91
101	1	131
102	1	67
103	1	109
104	1	91
105	1	85
106	1	77
107	1	97
108	1	111
109	1	101
110	1	69
111	1	95
112	1	85
113	1	91
114	1	85
115	1	103
116	1	71
117	1	113
118	1	89
119	1	127
120	1	99
121	1	113
122	1	105
123	1	97
124	1	99
125	1	73
126	1	97
127	1	81
128	1	113
129	1	105
130	1	117
131	1	107
132	1	115
133	1	89
134	1	65
135	1	97
136	1	125
137	1	87
138	1	67
139	1	105
140	1	61
141	1	119
142	1	121
143	1	109
144	1	73
145	1	111
146	1	95
147	1	67
148	1	99
149	1	89
150	1	101
151	1	67
152	1	95
153	1	69
154	1	57
155	1	97
156	1	73
157	1	99
158	1	117
159	1	75
160	1	113
161	1	107
162	1	129
163	1	113
164	1	83
165	1	67
166	1	75
167	1	63
168	1	111
169	1	81
170	1	49
171	1	75
172	1	81
173	1	105
174	1	85
175	1	117
176	1	93
177	1	95
178	1	77
179	1	87
180	1	75
181	1	107
182	1	73
183	1	87
184	1	109
185	1	93
186	1	77
187	1	129
188	1	83
189	1	127
190	1	129
191	1	91
192	1	87
193	1	107
194	1	85
195	1	81
196	1	63
197	1	97
198	1	83
199	1	79
200	1	73
201	1	95
202	1	101
203	1	95
204	1	87
205	1	119
206	1	101
207	1	113
208	1	93
209	1	67
210	1	103
211	1	91
212	1	77
213	1	125
214	1	69
215	1	107
216	1	109
217	1	77
218	1	91
219	1	125
220	1	123
221	1	69
222	1	83
223	1	95
224	1	99
225	1	71
226	1	111
227	1	113
228	1	107
229	1	117
230	1	75
231	1	115
232	1	103
233	1	97
234	1	93
235	1	87
236	1	121
237	1	83
238	1	101
239	1	105
240	1	101
241	1	95
242	1	87
243	1	95
244	1	115
245	1	73
246	1	71
247	1	101
248	1	71
249	1	117
250	1	97
251	1	93
252	1	101
253	1	87
254	1	129
255	1	85
256	1	101
257	1	73
258	1	109
259	1	113
260	1	85
261	1	85
262	1	75
263	1	99
264	1	75
265	1	71
266	1	97
267	1	69
268	1	113
269	1	121
270	1	95
271	1	127
272	1	105
273	1	91
274	1	97
275	1	113
276	1	115
277	1	71
278	1	79
279	1	73
280	1	113
281	1	97
282	1	81
283	1	117
284	1	65
285	1	129
286	1	115
287	1	115
288	1	75
289	1	105
290	1	113
291	1	97
292	1	85
293	1	109
294	1	75
295	1	81
296	1	89
297	1	79
298	1	79
299	1	105
300	1	129
301	1	75
302	1	91
303	1	101
304	1	97
305	1	79
306	1	95
307	1	87
308	1	87
309	1	83
310	1	103
311	1	115
312	1	61
313	1	79
314	1	105
315	1	125
316	1	85
317	1	85
318	1	131
319	1	81
320	1	113
321	1	109
322	1	87
323	1	91
324	1	89
325	1	85
326	1	65
327	1	107
328	1	77
329	1	109
330	1	77
331	1	99
332	1	81
333	1	91
334	1	67
335	1	103
336	1	65
337	1	97
338	1	113
339	1	119
340	1	83
341	1	99
342	1	87
343	1	97
344	1	79
345	1	87
346	1	67
347	1	105
348	1	83
349	1	105
350	1	95
351	1	109
352	1	107
353	1	113
354	1	89
355	1	95
356	1	87
357	1	59
358	1	99
359	1	85
360	1	89
361	1	85
362	1	115
363	1	81
364	1	93
365	1	77
366	1	99
367	1	71
368	1	63
369	1	115
370	1	121
371	1	95
372	1	95
373	1	127
374	1	69
375	1	133
376	1	85
377	1	127
378	1	75
379	1	87
380	1	87
381	1	89
382	1	115
383	1	107
384	1	115
385	1	61
386	1	75
387	1	77
388	1	71
389	1	99
390	1	129
391	1	99
392	1	79
393	1	85
394	1	79
395	1	67
396	1	93
397	1	115
398	1	103
399	1	79
400	1	81
401	1	109
402	1	103
403	1	89
404	1	81
405	1	95
406	1	109
407	1	77
408	1	89
409	1	139
410	1	123
411	1	91
412	1	81
413	1	105
414	1	91
415	1	121
416	1	125
417	1	75
418	1	61
419	1	79
420	1	77
421	1	77
422	1	85
423	1	99
424	1	93
425	1	79
426	1	83
427	1	115
428	1	83
429	1	87
430	1	117
431	1	95
432	1	101
433	1	103
434	1	83
435	1	127
436	1	107
437	1	97
438	1	105
439	1	87
440	1	91
441	1	87
442	1	103
443	1	87
444	1	115
445	1	77
446	1	91
447	1	89
448	1	93
449	1	103
450	1	73
451	1	71
452	1	105
453	1	61
454	1	101
455	1	135
456	1	91
457	1	111
458	1	101
459	1	117
460	1	99
461	1	73
462	1	119
463	1	87
464	1	87
465	1	129
466	1	111
467	1	71
468	1	85
469	1	101
470	1	73
471	1	73
472	1	75
473	1	95
474	1	105
475	1	119
476	1	103
477	1	83
478	1	93
479	1	123
480	1	107
481	1	101
482	1	119
483	1	107
484	1	81
485	1	101
486	1	91
487	1	105
488	1	91
489	1	115
490	1	87
491	1	79
492	1	91
493	1	95
494	1	83
495	1	79
496	1	111
497	1	99
498	1	123
499	1	93
500	1	105
501	1	97
502	1	95
503	1	103
504	1	87
505	1	89
506	1	115
507	1	103
508	1	87
509	1	89
510	1	103
511	1	51
512	1	91
513	1	111
514	1	111
515	1	79
516	1	65
517	1	127
518	1	71
519	1	101
520	1	85
521	1	87
522	1	85
523	1	123
524	1	95
525	1	79
526	1	73
527	1	119
528	1	85
529	1	105
530	1	95
531	1	83
532	1	59
533	1	109
534	1	77
535	1	95
536	1	73
537	1	125
538	1	73
539	1	93
540	1	87
541	1	115
542	1	75
543	1	103
544	1	83
545	1	63
546	1	75
547	1	103
548	1	87
549	1	69
550	1	81
551	1	115
552	1	125
553	1	71
554	1	87
555	1	69
556	1	87
557	1	93
558	1	73
559	1	57
560	1	75
561	1	83
562	1	83
563	1	117
564	1	113
565	1	89
566	1	65
567	1	103
568	1	73
569	1	91
570	1	111
571	1	73
572	1	93
573	1	101
574	1	83
575	1	107
576	1	95
577	1	63
578	1	101
579	1	103
580	1	81
581	1	81
582	1	73
583	1	69
584	1	87
585	1	67
586	1	97
587	1	83
588	1	95
589	1	83
590	1	71
591	1	99
592	1	79
593	1	77
594	1	89
595	1	69
596	1	105
597	1	99
598	1	81
599	1	75
600	1	137
601	1	131
602	1	97
603	1	115
604	1	113
605	1	111
606	1	87
607	1	63
608	1	103
609	1	85
610	1	87
611	1	107
612	1	95
613	1	91
614	1	63
615	1	87
616	1	75
617	1	89
618	1	71
619	1	87
620	1	75
621	1	93
622	1	101
623	1	87
624	1	89
625	1	77
626	1	99
627	1	85
628	1	101
629	1	87
630	1	97
631	1	105
632	1	99
633	1	93
634	1	65
635	1	81
636	1	115
637	1	107
638	1	67
639	1	103
640	1	95
641	1	125
642	1	91
643	1	89
644	1	73
645	1	129
646	1	93
647	1	85
648	1	75
649	1	71
650	1	95
651	1	93
652	1	95
653	1	95
654	1	73
655	1	97
656	1	93
657	1	75
658	1	105
659	1	81
660	1	73
661	1	85
662	1	97
663	1	107
664	1	85
665	1	77
666	1	75
667	1	79
668	1	127
669	1	125
670	1	73
671	1	97
672	1	79
673	1	97
674	1	121
675	1	63
676	1	101
677	1	53
678	1	89
679	1	93
680	1	107
681	1	73
682	1	91
683	1	83
684	1	99
685	1	107
686	1	87
687	1	77
688	1	71
689	1	101
690	1	77
691	1	95
692	1	83
693	1	107
694	1	117
695	1	63
696	1	99
697	1	103
698	1	83
699	1	97
700	1	119
701	1	63
702	1	101
703	1	91
704	1	95
705	1	81
706	1	97
707	1	75
708	1	81
709	1	93
710	1	81
711	1	107
712	1	131
713	1	73
714	1	91
715	1	85
716	1	73
717	1	101
718	1	85
719	1	115
720	1	105
721	1	91
722	1	83
723	1	91
724	1	107
725	1	91
726	1	87
727	1	95
728	1	99
729	1	93
730	1	95
731	1	95
732	1	101
733	1	93
734	1	113
735	1	93
736	1	121
737	1	111
738	1	85
739	1	109
740	1	103
741	1	91
742	1	93
743	1	85
744	1	125
745	1	103
746	1	121
747	1	87
748	1	109
749	1	69
750	1	79
751	1	59
752	1	105
753	1	109
754	1	79
755	1	59
756	1	109
